tr,eu5,imm7,ref2,ref3,ref4,country,germany,name,male,age,edu,income,unemployed,lrscale
0,0.5,0.7,0.25,0.25,0.5,0,,Austria,0,59,5,,0,5
0,0,0.5,0,0.25,0.25,0,,Austria,0,52,3,4,0,5
0,0.9,0.7,0.75,0.75,0.75,0,,Austria,1,28,5,5,0,4
0,0,0,0.75,0,0,0,,Austria,0,54,2,1,0,10
0,0.8,0.7,0.5,0.75,1,0,,Austria,0,16,5,5,0,5
0,0.5,0.5,0.25,0.5,0.75,0,,Austria,0,60,3,2,0,5
0,0.5,0.7,0.75,0.25,0.75,0,,Austria,0,63,3,4,0,5
0,0.1,0.6,0.5,0.5,0.5,0,,Austria,0,50,5,7,0,5
0,0.1,0.3,0.25,0.25,0.25,0,,Austria,0,45,3,4,0,10
0,0.1,0.1,0.25,0.25,0,0,,Austria,0,45,3,,0,
0,0.6,0.5,0.25,0.25,0.25,0,,Austria,1,57,3,6,0,5
0,0.5,0.7,0.75,0.5,0.75,0,,Austria,1,45,3,6,0,5
0,0.2,0.4,0,0,0.5,0,,Austria,0,72,2,4,0,5
0,0.4,0.5,0.5,0.5,0.5,0,,Austria,1,68,3,3,0,5
0,0.6,0.7,0,0.5,0.75,0,,Austria,0,40,3,4,0,5
0,0.5,0.7,0.25,0.5,0.75,0,,Austria,1,30,3,7,0,8
0,0,0.5,0.5,0.5,0.5,0,,Austria,1,57,3,3,0,7
0,0.6,0.5,0.75,0.75,0,0,,Austria,1,48,3,3,0,3
0,0.4,0,0.25,,0.5,0,,Austria,1,44,3,,1,5
0,0.7,0.6,0.5,0.5,,0,,Austria,0,22,5,,0,5
0,0,0,0.25,0,0,0,,Austria,0,47,2,2,1,3
0,0.7,0.6,0.5,0.5,0.5,0,,Austria,0,63,3,2,0,5
0,0,0.5,1,0.75,1,0,,Austria,0,44,2,4,0,6
0,0,0.4,0.75,0.5,0.5,0,,Austria,0,81,2,1,0,5
0,0.3,0.4,0.25,0.5,0.75,0,,Austria,1,59,2,4,0,
0,0.4,0.4,0.75,0.75,,0,,Austria,1,73,3,2,0,1
0,0.4,0.5,0.25,0.75,0.75,0,,Austria,0,52,3,,0,5
0,0,0.8,0.5,0.25,0.75,0,,Austria,1,54,3,5,0,
0,0.6,0.7,0.5,0.5,0.5,0,,Austria,1,26,3,3,0,5
0,0.6,0.7,0.75,0.5,0.75,0,,Austria,0,49,5,5,0,7
0,0.1,0.5,0.5,0.75,0.5,0,,Austria,0,66,3,3,0,4
0,0.5,0.7,0.5,0.5,0.75,0,,Austria,0,42,4,3,0,5
0,0.3,0.5,0.25,0.5,0.25,0,,Austria,0,64,2,4,0,10
0,0.6,0.8,0.25,0.75,0.75,0,,Austria,1,57,3,3,0,5
0,0,0.5,0,0.5,0.5,0,,Austria,1,27,5,9,0,5
0,0.6,0.7,0.75,1,1,0,,Austria,0,20,3,4,0,3
0,0.4,0.5,0.25,,0.25,0,,Austria,1,74,3,3,0,10
0,0.4,0.3,0,0,0,0,,Austria,1,66,2,,0,5
0,0,0.5,0,0.25,0.25,0,,Austria,1,68,3,5,0,5
0,0.5,0.5,0.25,0.5,0.5,0,,Austria,0,59,3,6,0,5
0,0,0,0,0,0,0,,Austria,1,33,3,6,0,5
0,0.6,0.8,0.25,0.25,0.25,0,,Austria,0,76,2,6,0,6
0,0,0.4,0,0.5,0.25,0,,Austria,0,49,3,7,0,5
0,0.1,0.5,0.75,0.75,0.75,0,,Austria,0,65,3,3,0,7
0,0.5,0.5,0.5,0.25,0.5,0,,Austria,0,50,7,,0,
0,0,0.5,0.25,0.25,0.25,0,,Austria,0,50,5,8,0,5
0,0,0.5,0,0.25,0.25,0,,Austria,1,69,3,6,0,5
0,0.5,0.5,0.5,0.25,0.75,0,,Austria,0,47,3,8,0,3
0,0.4,0.4,0.25,0.25,0.25,0,,Austria,0,54,2,4,0,4
0,0.4,0.5,0.25,0.5,0.25,0,,Austria,0,47,5,6,0,5
0,0.4,0.7,0.5,0.25,0.5,0,,Austria,0,78,2,1,0,4
0,0,0.9,0,0.25,0.25,0,,Austria,1,56,3,,0,7
0,0.6,0.5,0.5,0.25,0.5,0,,Austria,0,42,3,,0,
0,0.5,0.5,0.25,0.5,0.75,0,,Austria,1,36,3,5,0,6
0,0.3,0.5,0.75,0.75,0.75,0,,Austria,0,66,3,7,0,5
0,0.5,0.6,0.25,0.25,0.75,0,,Austria,0,43,3,6,0,7
0,0.1,0.6,0.75,0.5,0.75,0,,Austria,0,69,2,1,0,
0,0.7,0.6,0.25,0.25,0.75,0,,Austria,0,80,2,1,0,5
0,0.2,0.7,0.75,0.75,0.75,0,,Austria,0,59,5,2,0,4
0,0.6,0.6,0.5,0.5,0.25,0,,Austria,0,69,3,3,0,5
0,0.5,0.6,0.5,0.75,0.75,0,,Austria,0,70,3,5,0,5
0,0,0.1,0.25,0.75,0.25,0,,Austria,1,43,3,1,0,5
0,0.5,0.5,0.5,0.25,0.5,0,,Austria,1,64,2,2,0,5
0,0.8,0,0,0,0,0,,Austria,1,46,3,,0,8
